Name,Identity,PSN,Selected
AlmightyTwizz,358b7599-8e5b-422d-88d5-c970adf665e0,yes,yes
AnotherBeard,92ed3501-e8de-4c7c-a767-ba1faa552bcd,no,yes
Baird,cd44de24-5014-4f2e-bf52-373dc0115bb1,yes,yes
Baxenator,25452900-3dc8-4358-a770-7915f58cd8f9,no,yes
Calvin4349,35577640-65e5-40c0-8948-c55711cfd6b9,no,yes
Capt_Coffins,231baf85-4a4b-4cd4-9c49-9deb8b45f763,no,yes
DAX,aa574efa-c969-452d-8db9-288dacf239ba,no,yes
Headshot,1a70e2c8-3b40-4fb6-a53d-4b57d08b2306,yes,yes
Hobo Wombat2242,9cf8822a-1bad-49d0-a585-76736dde236f,no,yes
kystick,a31979d5-6c7b-4d4b-b6f9-47ab1a08c781,no,yes
Major Pickles,7bb80489-e927-437a-af75-17353c1bb540,no,yes
Nihil,dd0bb617-7033-4525-9646-d63c4f88c8f0,no,yes
plateofclams,31b6b69f-1f9a-4e92-be71-90b5b15203a7,no,yes
Sleaze,57d0236b-e30d-4a2e-ac81-8f08cc949230,yes,yes
ThatGuyHeimdall,eb10fd84-2dca-453f-9dbc-bdb436a43c65,yes,yes
The Lopen,e9c17458-ddda-4ea6-98c0-d18dd7ffcdaf,no,yes
Tokarev,a6eed851-5cf1-4c63-833b-d5bac9998949,no,yes
Tommy,f9a1c0a7-e4d6-42d8-9a0a-11e7c09d2323,yes,yes
VugeTunks,1065b04f-2d75-4ef6-b389-0d31c56f7cd4,yes,yes
Boxer,0e7da528-d9f9-4deb-9f14-f6fb7f9493be,no,no
